annotation_id,target_kind,target_id,category,valid_from,valid_to,description,related_refs,is_resolved
ann-snv-anga-b313-offline,meter,B313.Å1_VMM71,outage,2025-07-25,,Counter went offline 2025-07-25 at 133.0. Leaf meter; no children available for a sum-patch.,B313.Å1_VMM71:d,True
ann-snv-anga-b385-offline,meter,B385.Å1_VMM71,outage,2025-11-26,,Counter went offline 2025-11-26 at near-zero value (0.00213...). Leaf meter; no children available for a sum-patch.,B385.Å1_VMM71:d,True
ann-snv-anga-b307-excel-double-subtract,meter,B307.Å1_VMM71,unknown,,,"Excel row 23 (B307 pool formula) subtracts B330.Å1_VMM71, and row 46 (B337) subtracts the same meter — B330 is double-counted in the Excel totals. Ontology attaches B330 to B337 per decisions.md 2026-04-20; B307 therefore over-counts in topology by Δ(B330) each month (~0.9 MWh Jan-2026, ~27 MWh Feb-2026). Excel is immutable; this discrepancy is expected and permanent.",B307.Å1_VMM71:d|B330.Å1_VMM71:d|B337.Å1_VMM71:d,True
ann-snv-anga-b311-direction-conflict,meter,B311.Å1_VMM70,unknown,,,Direction conflict between flow_schema and naming extractor for the B311.Å1_VMM70 ↔ B311.Å1_VMM71 edge. Not yet resolved in decisions.md. Does not affect Jan/Feb 2026 totals because both meters are leaf-level relative to their building's accounting.,,False
ann-snv-anga-b217-patch-clip,timeseries,B217.Å1_VMM71:d.clip,patch,2025-07-15,2025-10-10,"Bracket patch: parameter-free monotone value-range clip over :d.raw's readings. Endpoints (v_lo, v_hi) derive from the source's readings immediately outside the validity window — the last clean pre-corruption value and the first clean post-corruption value. Any reading whose value falls outside [v_lo, v_hi] is physically impossible for a monotone counter and is dropped.",B217.Å1_VMM71:d.raw,True
ann-snv-anga-b317-vmm72-offline-winter,meter,B317.Å1_VMM72,outage,2025-09-21,2026-01-13,"Counter offline 2025-09-21 through 2026-01-13 (~116 days), full catchup flush on 2026-01-14 (+135.62 kWh). Total preserved: 135.75 kWh ÷ 116 days = 1.17 kWh/day, matching neighbor rates (~1.2/day). Patched via interpolate between clean endpoints 2025-09-20 (483.323) and 2026-01-14 (619.070).",B317.Å1_VMM72:d.patch,True
ann-snv-anga-b317-vmm72-partial-loss-jul,meter,B317.Å1_VMM72,data_quality,2025-07-14,2025-07-25,"Partial data loss: counter flat 2025-07-14 through 2025-07-23 (~10 days), resumed with only +2.7 kWh caught up across Jul 24-25. Pre/post neighbor rate ~1.85/day suggests ~22 kWh expected; ~19 kWh was lost (counter stopped counting, not just reporting). Not patched via interpolate — that would under-distribute. Magnitude is small (~0.05% of annual) so accepted as-is.",,True
ann-snv-anga-b217-glitch-aug,meter,B217.Å1_VMM71,data_quality,2025-08-01,2025-08-07,"Three-event cluster inside the corruption window: glitch 2025-08-01 to 2025-08-03, offline 2025-08-06, register swap 2025-08-07 at value 803864.576. Segment split produced :d.A | :d.B | :d.C.",B217.Å1_VMM71:d.A|B217.Å1_VMM71:d.B|B217.Å1_VMM71:d.C,True
ann-snv-anga-b217-glitch-sep,meter,B217.Å1_VMM71,data_quality,2025-09-25,2025-09-28,End-of-corruption glitch boundary where the :d.C → :d.D segment split was applied (last stuck-high value observed: 805175.296). Counter resumes cleanly on 2025-09-28.,B217.Å1_VMM71:d.C|B217.Å1_VMM71:d.D,True
ann-snv-anga-b307-vmm71-swap,meter,B307.Å1_VMM71,swap,2025-07-31,2025-07-31,Device register swap on 2025-07-31 (last value 2227.0615). Handled by 2-segment split :d.A | :d.B stitched via rolling_sum.,B307.Å1_VMM71:d.A|B307.Å1_VMM71:d.B|B307.Å1_VMM71:d,True
ann-snv-anga-b315-shared-with-b357,meter,B315.Å1_VMM71,unknown,,,"B315's meter also covers B357's steam consumption. Per the reference formula doc (""Mäts tillsammans med B357""), B357 has no standalone ÅNGA meter; its usage is bundled into B315's reading. Affects per-building attribution if B357 is queried alone — the value reported for B315 includes B357.",B315.Å1_VMM71:d,True
ann-snv-anga-b312-metered-with-b385,building,B312,unknown,,,"ÅNGA supply to B312 is shut off; any residual consumption is metered together with B385 per the reference formula doc (""Ånga är avstängd till byggnad så mäts tillsammans med B385""). B312 has no standalone ÅNGA meter, so per-building attribution will blend B312 into B385.",B385.Å1_VMM71:d,True
ann-snv-anga-b330-b331-combined,building,B330,unknown,,,"B330 accounting in PME covers both B330 and B331 as one combined unit per the reference formula doc (""B330/331 är det som gäller i PME""). B331 has no standalone ÅNGA formula; its consumption is embedded in B330's three-meter sum (VMM71 + VMM72 + VMM73).",B330.Å1_VMM71:d|B330.Å1_VMM72:d|B330.Å1_VMM73:d,True
ann-snv-anga-b307-two-feed-shortest-path,meter,B307.Å1_VMM71,unknown,,,"B307 is fed from two directions. Per the reference formula doc (""Matning från 2 håll, utgår att media tar kortaste vägen"") accounting assumes steam takes the shortest path to each downstream consumer. The 10-term building formula subtracts B216, B339, B302.VMM73, B311, B334, B304, B330, B337 from (B307.VMM71 + B307.VMM72). Relevant when interpreting pool residuals on B307.",B307.Å1_VMM71:d|B307.Å1_VMM72:d,True
ann-snv-anga-b308-formula-under-review,building,B308,unknown,,,"B308 is fed from two directions; the current building formula (B308.VMM71 − B327.VMM71) is under review by site engineer Anton per the reference formula doc (""Anton kollar upp formeln""). Two meters at B308 are scheduled for replacement at Sommarstopp 2025 — expect formula revision after the swap.",B308.Å1_VMM71:d|B327.Å1_VMM71:d,False
ann-snv-anga-b339-carbon-filter-only,building,B339,unknown,,,"Only the carbon filter at B339 currently consumes ÅNGA per the reference formula doc (""Endast kolfiltret som använder ånga""). Post-Sommarstopp 2025 B339 will additionally feed the 200-series buildings (B201–B209, currently all ""avstängd"" / N/A), enabling future line-loss calculations for the 339 → 200-houses spur.",B339.Å1_VMM70:d,False
ann-snv-anga-b325-producer-post-rebuild,building,B325,unknown,,,"B325 is being rebuilt and will be producer-only post-rebuild (no ÅNGA consumption). Current formula B325 = Panna2 + Panna3 − B390 is flagged ""Osäkert värde"" (uncertain value) in the reference formula doc. Post- Sommarstopp 2025 the trunk-export accounting will change: B325 will take over metering of the full B390 trunk. Revise building formula after the rebuild lands.",B325.Panna2_MWH:d|B325.Panna3_MWH:d|B390.Å1_VMM70:d,False
ann-snv-anga-b325-panna-device-types,meter,B325.Panna2_MWH,unknown,,,"Per the reference formula doc's Mätarlista: B325.Panna2_MWH is the electric boiler (Elpanna). B325.Panna3_MWH is the oil boiler burning HVO biodiesel (Oljepanna HVO-olja). Both are producers feeding the B390 trunk, not consumers.",B325.Panna2_MWH:d|B325.Panna3_MWH:d,True
ann-snv-anga-sommarstopp-2025,campus,SNV,swap,2025-06-01,2025-08-31,"Reference formula doc lists planned ÅNGA meter changes for the Sommarstopp 2025 window: (1) B325 to take over full B390 trunk metering; (2) two B308 meters to be replaced (formula under Anton's review); (3) B339 to redirect and feed the 200-series buildings (enabling 339→200-houses loss calculations); (4) B302: one meter to be reset to zero; (5) B616 (GTN) swap — already executed 2025-11-05, see GTN B616_swap. Several SNV building formulas may need revision post-Sommarstopp.",B325.Panna2_MWH:d|B325.Panna3_MWH:d|B390.Å1_VMM70:d|B308.Å1_VMM71:d|B339.Å1_VMM70:d|B302.Å1_VMM71:d,False
ann-snv-anga-vm7x-transitional-naming,campus,SNV,data_quality,,,"Several ÅNGA meters use transitional ""VM7x"" names in Snowflake (instead of the stable ""VMM7x"") per the reference formula doc (""heter VM71 än så länge. Kommer döpas om på sikt till VMM71""). Affected SNV meters: B216.Å1_VM71, B217.Å1_VM71, B313.Å1_VM71. Ontology meter_ids already use the canonical VMM71 form; the Snowflake crosswalk currently maps VMM71 → VM71 for these. When the upstream rename lands, the crosswalk must prefer the new VMM7x variant (consistent with the ""_E"" variant preference rule).",B216.Å1_VMM71:d|B217.Å1_VMM71:d|B313.Å1_VMM71:d,False
ann-snv-anga-b310-b317-sibling-patch-effect,building,B310,data_quality,,,Sibling effect of B317.Å1_VMM72 patch: the catch-up redistribution in B317 moves consumption out of Jan 2026 and into the offline window; B310 ANGA roll-up absorbs that redistribution as a small negative residual vs Excel. Accepted side-effect of the interpolate patch chosen for B317.,,True
