media,building_id,month,excel_kwh,onto_kwh,diff_kwh,reason,explanation
EL,B311,2026-01,334462.56,328485.88,-5976.67,strux_only_meter,"Drift = 0.5 × B313.T26S unmetered residual. Same root cause as B310: T26S has no measured flow in Snowflake so the `feeds k=0.5` edge to B311.EL_VIRT is dead. Excel B311 reconstructs as 0.5 × (T26S_strux − 8 BMS subs in B311 row) + 0.667×T29 + extras + T56.net + T79 + T80.net + T99-4-5 = 334,463 with the same T26S_strux ≈ 74.6 MWh/mo. The 8-kWh agreement between B310 and B311 drifts (5985 vs 5977) is the fingerprint of a single shared upstream cause."
EL,B311,2026-02,311271.33,305301.25,-5970.08,strux_only_meter,"Drift = 0.5 × B313.T26S unmetered residual. Same root cause as B310: T26S has no measured flow in Snowflake so the `feeds k=0.5` edge to B311.EL_VIRT is dead. Excel B311 reconstructs as 0.5 × (T26S_strux − 8 BMS subs in B311 row) + 0.667×T29 + extras + T56.net + T79 + T80.net + T99-4-5 = 334,463 with the same T26S_strux ≈ 74.6 MWh/mo. The 8-kWh agreement between B310 and B311 drifts (5985 vs 5977) is the fingerprint of a single shared upstream cause."
EL,B312,2026-01,12938.97,12938.71,-0.26,match,
EL,B312,2026-02,12287.34,12287.64,0.30,match,
EL,B313,2026-01,14400.10,14401.12,1.02,match,
EL,B313,2026-02,13564.03,13563.25,-0.78,match,
EL,B314,2026-01,13693.35,13693.21,-0.14,match,
EL,B314,2026-02,12531.52,12531.01,-0.51,match,
EL,B315,2026-01,2774.35,2774.82,0.47,match,
EL,B315,2026-02,2610.19,2609.64,-0.54,match,
EL,B316,2026-01,0.00,0.00,0.00,match,
EL,B316,2026-02,0.00,0.00,0.00,match,
EL,B317,2026-01,62941.47,62946.70,5.23,match,
EL,B317,2026-02,134117.52,58642.60,-75474.93,under_investigation,"B317 EL Jan matches Excel within 5 kWh; Feb shows -75 MWh (-56%). All BMS data (T49 + 13 subs, T26S-3-16/3-20) is internally consistent and reproduces Excel-Jan exactly via `0.5 × (T49 - 5 subs) + T49-5-9 + T26S-3-16 + T26S-3-20`. Excel's extra 75 MWh in Feb is unaccounted for by BMS — likely a STRUX-side Feb entry on T26S-3-16/3-20 (both flat in BMS) or a STRUX value diverging from BMS for one T49 term. Needs facit spot-check."
EL,B318,2026-01,124906.27,122565.86,-2340.40,excel_bug,Excel uses B318.T21-6-2-A at +1.0 in both B318 (row 34) and B344 (row 53). Ontology splits 0.5/0.5 to avoid double-count; the 0.5 × T21-6-2-A ≈ 2.3 MWh/mo missing from B318 is the observed −1.9 % drift. Same family as B327 / B326.VS1_VMM61. See snv_el_T21_6_2_A_double_plus.
EL,B318,2026-02,115770.06,113561.74,-2208.32,excel_bug,Excel uses B318.T21-6-2-A at +1.0 in both B318 (row 34) and B344 (row 53). Ontology splits 0.5/0.5 to avoid double-count; the 0.5 × T21-6-2-A ≈ 2.3 MWh/mo missing from B318 is the observed −1.9 % drift. Same family as B327 / B326.VS1_VMM61. See snv_el_T21_6_2_A_double_plus.
EL,B319,2026-01,9536.52,9538.91,2.40,match,
EL,B319,2026-02,8909.10,8907.07,-2.04,match,
EL,B320,2026-01,0.00,0.00,0.00,match,
EL,B320,2026-02,0.00,0.00,0.00,match,
EL,B322,2026-01,0.00,0.00,0.00,match,
EL,B322,2026-02,0.00,0.00,0.00,match,
EL,B323,2026-01,0.00,0.00,0.00,match,
EL,B323,2026-02,0.00,0.00,0.00,match,
EL,B324,2026-01,0.00,0.00,0.00,match,
EL,B324,2026-02,0.00,0.00,0.00,match,
EL,B325,2026-01,217592.07,217648.26,56.19,match,
EL,B325,2026-02,192645.57,192629.57,-16.00,match,
EL,B326,2026-01,84369.38,84402.73,33.35,match,
EL,B326,2026-02,83143.51,83172.52,29.01,match,
EL,B327,2026-01,51178.16,51180.85,2.70,match,
EL,B327,2026-02,46596.75,46594.47,-2.28,match,
EL,B328,2026-01,1190.92,1190.94,0.02,match,
EL,B328,2026-02,1149.14,1149.11,-0.03,match,
EL,B330,2026-01,667118.35,667186.17,67.83,match,
EL,B330,2026-02,595877.66,595833.25,-44.41,match,
EL,B331,2026-01,0.00,0.00,0.00,match,
EL,B331,2026-02,0.00,0.00,0.00,match,
EL,B334,2026-01,439468.82,439498.49,29.67,match,
EL,B334,2026-02,410101.36,410132.99,31.63,match,
EL,B337,2026-01,451619.81,451612.00,-7.81,match,
EL,B337,2026-02,401697.17,401733.10,35.93,match,
EL,B339,2026-01,287205.20,287195.53,-9.67,match,
EL,B339,2026-02,236319.93,236222.32,-97.61,match,
EL,B339 Kolfilter,2026-01,16774.53,16773.97,-0.56,match,
EL,B339 Kolfilter,2026-02,17190.29,17183.19,-7.10,match,
EL,B341,2026-01,224854.62,224859.12,4.50,match,
EL,B341,2026-02,209131.00,209134.00,3.00,match,
EL,B342,2026-01,116653.12,117463.00,809.88,data_source_drift,"Consistent +0.7 % gap (~810 kWh/mo) between ontology (BMS daily sum) and Excel cached value. None of the 3 +term meters (B308.T58-8-3, B342.T66, B342.T67) has anomalies, double-counting, or 2026-01-14 cluster impact. Same shape as GTN B652 data_source_drift."
EL,B342,2026-02,118049.25,118875.26,826.01,data_source_drift,"Consistent +0.7 % gap (~810 kWh/mo) between ontology (BMS daily sum) and Excel cached value. None of the 3 +term meters (B308.T58-8-3, B342.T66, B342.T67) has anomalies, double-counting, or 2026-01-14 cluster impact. Same shape as GTN B652 data_source_drift."
EL,B343,2026-01,0.00,0.00,0.00,match,
EL,B343,2026-02,0.00,0.00,0.00,match,
EL,B344,2026-01,54466.44,52119.59,-2346.86,excel_bug,Excel uses B318.T21-6-2-A at +1.0 in both B344 (row 53) and B318 (row 34). Ontology splits 0.5/0.5; the missing 0.5 × T21-6-2-A ≈ 2.3 MWh/mo from B344 is part of the observed −4 % drift (also compounded by T57-4-7 hasSubMeter chain). See snv_el_T21_6_2_A_double_plus.
EL,B344,2026-02,55967.20,53731.54,-2235.66,excel_bug,Excel uses B318.T21-6-2-A at +1.0 in both B344 (row 53) and B318 (row 34). Ontology splits 0.5/0.5; the missing 0.5 × T21-6-2-A ≈ 2.3 MWh/mo from B344 is part of the observed −4 % drift (also compounded by T57-4-7 hasSubMeter chain). See snv_el_T21_6_2_A_double_plus.
EL,B345,2026-01,0.00,0.00,0.00,match,
EL,B345,2026-02,0.00,0.00,0.00,match,
EL,B346,2026-01,0.00,0.00,0.00,match,
EL,B346,2026-02,0.00,0.00,0.00,match,
EL,B348,2026-01,0.00,0.00,0.00,match,
EL,B348,2026-02,0.00,0.00,0.00,match,
EL,B349,2026-01,0.00,0.00,0.00,match,
EL,B351,2026-01,0.00,0.00,0.00,match,
EL,B351,2026-02,0.00,0.00,0.00,match,
EL,B352,2026-01,0.00,0.00,0.00,match,
EL,B352,2026-02,0.00,0.00,0.00,match,
EL,B353,2026-01,10484.07,10480.16,-3.90,match,
EL,B353,2026-02,11018.74,11020.47,1.74,match,
EL,B354,2026-01,0.00,0.00,0.00,match,
EL,B354,2026-02,0.00,0.00,0.00,match,
EL,B357,2026-01,0.00,0.00,0.00,match,
EL,B357,2026-02,0.00,0.00,0.00,match,
EL,B358,2026-01,0.00,0.00,0.00,match,
EL,B358,2026-02,0.00,0.00,0.00,match,
EL,B359,2026-01,0.00,0.00,0.00,match,
EL,B359,2026-02,0.00,0.00,0.00,match,
EL,B360,2026-01,0.00,0.00,0.00,match,
EL,B360,2026-02,0.00,0.00,0.00,match,
EL,B361,2026-01,0.00,0.00,0.00,match,
EL,B361,2026-02,0.00,0.00,0.00,match,
EL,B381,2026-01,7299.27,7299.17,-0.09,match,
EL,B381,2026-02,6533.76,6533.40,-0.36,match,
EL,B382,2026-01,0.00,0.00,0.00,match,
EL,B382,2026-02,0.00,0.00,0.00,match,
EL,B385,2026-01,2061.56,2061.46,-0.10,match,
EL,B385,2026-02,1816.24,1816.48,0.24,match,
EL,B386,2026-01,0.00,0.00,0.00,match,
EL,B386,2026-02,0.00,0.00,0.00,match,
EL,B387,2026-01,0.22,0.22,0.00,match,
EL,B387,2026-02,0.00,0.00,-0.00,match,
EL,B390,2026-01,0.00,0.00,0.00,match,
EL,B390,2026-02,0.00,0.00,0.00,match,
EL,B392,2026-01,54802.52,31797.15,-23005.37,excel_bug,Excel uses B339.T77-4-5 at +1.0 in both B392 (row 81) and B305 (row 22). Ontology splits 0.5/0.5; B392 therefore receives 0.5 × T77-4-5 ≈ 23 MWh/mo less than Excel. The other +term (B334.T88-4-2) contributes correctly. Same 50/50-split remediation as B318/B344. See snv_el_T77_4_5_double_plus.
EL,B392,2026-02,51515.04,29837.90,-21677.14,excel_bug,Excel uses B339.T77-4-5 at +1.0 in both B392 (row 81) and B305 (row 22). Ontology splits 0.5/0.5; B392 therefore receives 0.5 × T77-4-5 ≈ 23 MWh/mo less than Excel. The other +term (B334.T88-4-2) contributes correctly. Same 50/50-split remediation as B318/B344. See snv_el_T77_4_5_double_plus.
EL,B393,2026-01,0.00,0.00,0.00,match,
EL,B393,2026-02,0.00,0.00,0.00,match,
EL,B403,2026-01,24466.35,24466.70,0.35,match,
EL,B403,2026-02,29906.29,29904.80,-1.50,match,
EL,B420,2026-01,0.00,0.00,0.00,match,
EL,B420,2026-02,0.00,0.00,0.00,match,
