annotation_id,target_kind,target_id,category,valid_from,valid_to,description,related_refs,is_resolved
ann-snv-kv-b310-vmm23-winter-offline,meter,B310.KV1_VMM23_V,outage,2025-09-21,2026-01-14,"Counter flat for 115 days (2025-09-21 → 2026-01-13) at 5987.662, then single catch-up flush on 2026-01-14 (+1962.80 m³, ~17.1 m³/day across the window — consistent with pre-flat rate 15.7/day and post-flush rate 19.1/day). BMS gateway outage. A raw daily-delta view would show a spike on 2026-01-14 at B310 (+1963) and a mirror dip at B311 (−1963) since B310.KV1_VM23_V is a −term in B311's 15-term pool. Patched via 3-segment rolling_sum (:d.A slice valid_to=2025-09-21 | :d.patch interpolate 2025-09-21→2026-01-14 | :d.B slice valid_from=2026-01-14), same pattern as ann-snv-anga-b317-vmm72-offline-winter for ÅNGA.",B310.KV1_VMM23_V:d.raw|B310.KV1_VMM23_V:d.A|B310.KV1_VMM23_V:d.patch|B310.KV1_VMM23_V:d.B|B310.KV1_VMM23_V:d,True
ann-snv-kv-b310-vmm20-winter-offline,meter,B310.KV1_VMM20_V,outage,2025-09-21,2026-01-14,"Counter flat for 115 days (2025-09-21 → 2026-01-13) at 110.82, flush 2026-01-14 (+8.59 m³). Low magnitude but same BMS-gateway event as B310.KV1_VMM23_V. Patched via 3-segment rolling_sum with interpolate across the flat window. Same mirror-dip effect on B311's pool (B310.KV1_VM20_V is −term in B311).",B310.KV1_VMM20_V:d.raw|B310.KV1_VMM20_V:d.A|B310.KV1_VMM20_V:d.patch|B310.KV1_VMM20_V:d.B|B310.KV1_VMM20_V:d,True
ann-snv-kv-b313-vmm22-winter-offline,meter,B313.KV1_VMM22_V,outage,2025-09-21,2026-01-14,"Counter flat for 115 days (2025-09-21 → 2026-01-13) at 630.81, flush 2026-01-14 (+104.51 m³). Same BMS-gateway outage as B310.KV1_VMM23_V. Patched via 3-segment rolling_sum with interpolate across the flat window. Mirror-dip on B310 since B313.KV1_VM22_V is a −term in the B310 formula; also double-subtracted in Excel row 30 (B314) — see ann-snv-kv-b313-double-subtract.",B313.KV1_VMM22_V:d.raw|B313.KV1_VMM22_V:d.A|B313.KV1_VMM22_V:d.patch|B313.KV1_VMM22_V:d.B|B313.KV1_VMM22_V:d,True
ann-snv-kv-b317-vmm21-winter-offline,meter,B317.KV1_VMM21_V,outage,2025-09-21,2026-01-14,"Counter flat for 115 days (2025-09-21 → 2026-01-13) at 737.98, flush 2026-01-14 (+97.41 m³). Same BMS-gateway outage as B310.KV1_VMM23_V. Patched via 3-segment rolling_sum with interpolate across the flat window. Mirror-dip on B311 since B317.KV1_VM21_V is a −term in the B311 pool.",B317.KV1_VMM21_V:d.raw|B317.KV1_VMM21_V:d.A|B317.KV1_VMM21_V:d.patch|B317.KV1_VMM21_V:d.B|B317.KV1_VMM21_V:d,True
ann-snv-kv-b389-brv1-offline-dec,meter,B389.BRV1_VMM21,outage,2025-12-16,2026-02-03,"Counter flat for 48 days (2025-12-16 → 2026-02-02) at 943.09, flush 2026-02-03 (+261.16 m³, ~5.4 m³/day across the window). Separate event from the Sep→Jan winter outage (B389 is on a different BMS branch — brandvatten / fire-water). Patched via 3-segment rolling_sum with interpolate across the flat window. B389 appears only as a standalone +term in its own building formula, so no mirror effect elsewhere.",B389.BRV1_VMM21:d.raw|B389.BRV1_VMM21:d.A|B389.BRV1_VMM21:d.patch|B389.BRV1_VMM21:d.B|B389.BRV1_VMM21:d,True
ann-snv-kv-b302-vmm23-unused,meter,B302.KV1_VMM23_V,data_quality,1900-01-01,9999-01-01,"B302.KV1_VMM23_V flat at zero for the whole reference period (2025-01 → 2026-02). Reference formula doc's B302 formula uses VMM21, VMM22, VMM23 — so VMM23 is part of the building formula but currently reads zero. Either the sub-loop is idle or the counter is dormant. Low magnitude; accepted.",,True
ann-snv-kv-b304-vmm23-low,meter,B304.KV1_VMM23_V,data_quality,2025-05-17,2025-06-18,"B304.KV1_VMM23_V had a 33-day flat run in early summer 2025 with low-magnitude readings (median 0.17 m³/day, max 24 m³/day). Seasonal / intermittent use pattern typical of auxiliary cold- water loops.",,True
ann-snv-kv-b308-vmm23-spring-spike,meter,B308.KV1_VMM23_V,data_quality,2025-03-10,2025-03-14,"B308.KV1_VMM23_V shows a 5-day burst (2025-03-10 → 14) of 200–366 m³/day, well above the 17 m³/day median. No ontology patch needed — monotonic counter, real consumption. Possibly a process test or seasonal filling; worth noting for trend baselines.",,True
ann-snv-kv-b318-vmm21-oct-spike,meter,B318.KV1_VMM21_V,data_quality,2025-10-01,2025-10-02,"B318.KV1_VMM21_V shows a 2-day spike (160 + 116 m³) above its ~4 m³/day baseline. Monotonic counter, no patch needed. Likely a process event; flagged for context only.",,True
ann-snv-kv-tn-billing-reconciliation,campus,SNV,unknown,1900-01-01,9999-01-01,"TN-billed SNV KV intake = 23 310 / 19 893 m³ Jan/Feb 2026 across 6 AZ-side meters per Total SNV tab: B311.KV1_VMM26_V (TN 11065/73353516) and B334.KV1_VMM21 (TN 23772633) — already in ontology as building meters; B217.KV1_VM001 (TN 68844912 brunn 1), B217.KV1_VM002 (TN 68844913 brunn 2), B390.KV1_VM25_V (TN 53989390), B409.KV1_VM21 (TN 23772635, currently offline) — 4 wells/inlets NOT in the ontology because the existing 30 root building-inlet meters already sum to ~TN total within 3 % (22 673 m³ Jan / 18 951 m³ Feb). The wells appear to be implicit upstream of existing root meters (would double-count if added). The 6 TN meters are billing reconciliation, not topology — SNV KV is distributed wells, not a substation pattern.",,
