facit_id,snowflake_id,strux_id,excel_used,confidence,evidence
B650.KV1_VM21,B650.KV1_VM21,B650.KV1_VM21,yes,high,snowflake exact match
B651.KV1_VM21,B651.KV1_VM21,B651.KV1_VM21,yes,high,snowflake exact match
B652.KV1_VM21,B652.KV1_VM21,B652.KV1_VM21,yes,high,snowflake exact match
B653.KV1_VM23_V,B653.KV1_VM23_V,B653.KV1_VM23_V,yes,high,snowflake exact match
B654.KV1_VM21_V,B654.KV1_VM21_V,B654.KV1_VM21_V,yes,high,snowflake exact match
B655.KV1_VM21,B655.KV1_VM21,B655.KV1_VM21,yes,high,snowflake exact match
B656.KV1_VM21,B656.KV1_VM21,B656.KV1_VM21,yes,high,snowflake exact match
B658.KV1_VM21,B658.KV1_VM21,B658.KV1_VM21,yes,high,snowflake exact match
B659.KV1_VM21_V,B659.KV1_VM21_V,B659.KV1_VM21_V,yes,high,snowflake exact match
B661.KV1_VM22,B661.KV1_VM22,B661.KV1_VM22,yes,high,snowflake exact match
B661.KV1_VM23,B661.KV1_VM23,B661.KV1_VM23,yes,high,snowflake exact match
B661.KV1_VM24,B661.KV1_VM24,B661.KV1_VM24,yes,high,snowflake exact match
B664.KV1_VM21_V,B664.KV1_VM21_V,B664.KV1_VM21_V,yes,high,snowflake exact match
B674.KV1_VM21,B674.KV1_VM21,B674.KV1_VM21,yes,high,snowflake exact match
B684.KV1_VM21,B684.KV1_VM21,B684.KV1_VM21,yes,high,snowflake exact match
B821.KV1_VM21,B821.KV1_VM21,B821.KV1_VM21,yes,high,snowflake exact match
B821.KV1_VM22,B821.KV1_VM22,B821.KV1_VM22,yes,high,snowflake exact match
B833.KV1_VM21,B833.KV1_VM21,B833.KV1_VM21,yes,high,snowflake exact match
B833.KV1_VM22,B833.KV1_VM22,B833.KV1_VM22,yes,high,snowflake exact match
B833.KV1_VM23,B833.KV1_VM23,B833.KV1_VM23,yes,high,snowflake exact match
B834.KV1_VM21,B834.KV1_VM21,B834.KV1_VM21,yes,high,snowflake exact match
B841.KV1_VM21,B841.KV1_VM21,B841.KV1_VM21,yes,high,snowflake exact match
B841.KV1_VM22,B841.KV1_VM22,B841.KV1_VM22,yes,high,snowflake exact match
B841.KV1_VM23,B841.KV1_VM23,B841.KV1_VM23,yes,high,snowflake exact match
B841.KV1_VM24,B841.KV1_VM24,B841.KV1_VM24,yes,high,snowflake exact match
B850.KV1_VM21,B850.KV1_VM21,B850.KV1_VM21,yes,high,snowflake exact match
B869.KV1_VM21,,B869.KV1_VM21,yes,high,STRUX-catalog entry (Automatisk) but no Snowflake data; Excel cache = 0 for building B869 Jan-Feb 2026 — meter inactive
B921.KV1_VM21_V,B921.KV1_VM21_V,B921.KV1_VM21_V,yes,high,snowflake exact match
